aX,aY,aZ,gX,gY,gZ
-0.573,-0.350,0.561,-6.042,-2.441,4.517
-0.470,-0.391,0.578,-2.441,0.183,-4.700
-0.348,-0.450,0.587,0.427,-3.845,-15.381
-0.230,-0.538,0.634,5.676,-9.888,-22.827
-0.158,-0.636,0.711,11.658,-12.573,-23.193
-0.103,-0.736,0.782,16.235,-10.071,-20.142
-0.053,-0.812,0.824,18.616,-6.042,-15.198
-0.004,-0.884,0.839,17.822,-3.113,-9.888
0.051,-0.947,0.824,14.954,-0.366,-5.859
0.097,-0.989,0.796,10.986,0.427,-1.648
0.119,-1.007,0.756,6.348,-0.977,3.723
0.104,-1.010,0.720,1.099,-4.883,8.667
0.083,-1.018,0.692,-2.991,-11.353,10.010
0.069,-1.035,0.695,-6.592,-21.484,7.751
0.034,-1.041,0.724,-9.521,-31.921,6.287
-0.008,-1.036,0.757,-12.573,-36.621,7.141
-0.062,-1.016,0.784,-15.808,-34.729,10.986
-0.135,-0.958,0.790,-18.738,-26.978,17.761
-0.185,-0.872,0.773,-20.264,-15.137,22.644
-0.191,-0.774,0.734,-19.897,-4.517,22.827
-0.171,-0.694,0.694,-18.066,2.380,19.409
-0.142,-0.653,0.668,-15.808,3.418,13.550
-0.076,-0.664,0.678,-13.855,0.061,4.639
-0.016,-0.672,0.710,-13.367,-4.822,-2.319
-0.002,-0.669,0.743,-15.503,-8.179,-2.014
-0.003,-0.652,0.774,-16.296,-7.202,1.526
-0.009,-0.620,0.801,-16.174,-3.418,6.226
-0.036,-0.592,0.825,-15.869,1.343,12.024
-0.074,-0.579,0.853,-15.259,6.104,17.029
-0.088,-0.544,0.871,-13.550,12.695,17.700
-0.043,-0.512,0.864,-13.000,18.982,14.587
-0.002,-0.477,0.840,-14.282,19.592,12.390
0.007,-0.451,0.823,-14.343,16.785,11.902
0.013,-0.456,0.814,-12.024,15.198,10.986
0.033,-0.477,0.821,-8.606,16.052,8.423
0.052,-0.498,0.826,-6.714,16.052,5.737
0.053,-0.515,0.830,-7.324,12.817,4.944
0.045,-0.499,0.845,-9.216,8.118,5.005
0.029,-0.480,0.864,-10.803,4.639,5.981
-0.008,-0.474,0.874,-11.780,4.456,8.240
-0.034,-0.457,0.883,-10.498,7.690,9.399
-0.021,-0.436,0.881,-9.216,13.245,8.240
0.004,-0.433,0.862,-9.155,17.578,6.592
0.022,-0.441,0.833,-9.644,18.982,5.493
0.049,-0.444,0.816,-8.301,20.142,3.601
0.091,-0.460,0.796,-6.836,21.484,1.587
0.113,-0.495,0.773,-5.676,20.264,0.671
0.125,-0.523,0.770,-3.479,16.113,0.366
0.124,-0.551,0.790,-2.441,10.437,-0.977
0.137,-0.579,0.805,-5.127,3.784,-3.052
0.125,-0.577,0.819,-8.301,-3.296,-4.578
0.090,-0.573,0.843,-9.521,-6.958,-4.639
0.067,-0.554,0.863,-8.240,-6.042,-3.174
0.058,-0.526,0.879,-5.310,-1.465,-0.183
0.042,-0.503,0.889,-2.502,3.601,4.211
0.022,-0.496,0.889,-0.732,6.653,8.545
0.006,-0.490,0.882,0.244,8.484,10.254
0.002,-0.494,0.873,0.916,9.460,8.728
0.005,-0.501,0.864,1.160,9.460,5.310
0.010,-0.516,0.849,1.099,8.179,1.892
0.024,-0.528,0.849,1.099,5.615,-1.465
0.042,-0.541,0.855,0.366,2.991,-4.028
0.062,-0.544,0.857,-1.282,1.648,-4.456
0.069,-0.536,0.857,-2.930,0.793,-2.808
0.071,-0.527,0.862,-4.395,0.916,-0.977
0.066,-0.532,0.863,-5.737,1.892,0.671
0.050,-0.533,0.859,-6.104,3.113,2.319
0.034,-0.530,0.861,-5.188,3.357,4.028
0.019,-0.529,0.870,-2.991,4.028,5.127
0.010,-0.516,0.873,-0.793,5.737,5.859
0.010,-0.501,0.870,0.977,6.714,5.798
0.013,-0.496,0.875,2.136,5.920,4.395
0.014,-0.496,0.878,1.648,3.723,2.319
0.021,-0.502,0.876,-0.854,0.916,-0.183
0.019,-0.507,0.881,-3.540,-1.709,-2.075
0.019,-0.510,0.879,-5.737,-1.160,-3.052
0.029,-0.513,0.863,-6.653,2.319,-2.930
0.031,-0.515,0.852,-6.165,4.211,-1.831
0.032,-0.515,0.856,-4.578,4.639,-0.183
0.036,-0.521,0.858,-3.296,5.371,1.282
0.040,-0.517,0.852,-2.258,7.019,2.686
0.049,-0.510,0.844,-0.366,9.277,4.211
0.057,-0.505,0.845,1.892,10.742,5.493
0.057,-0.498,0.845,2.930,10.986,6.531
0.053,-0.495,0.845,3.479,10.010,7.080
0.053,-0.493,0.849,3.601,8.545,6.470
0.047,-0.497,0.862,2.563,6.104,5.127
0.050,-0.505,0.869,0.305,3.723,3.845
0.054,-0.503,0.869,-1.465,2.869,2.136
0.059,-0.501,0.865,-2.747,2.441,1.526
0.060,-0.504,0.858,-2.991,2.441,1.770
0.059,-0.510,0.854,-2.625,2.563,2.808
0.060,-0.513,0.861,-1.587,2.991,3.540

0.647,0.565,1.633,48.279,-39.490,3.113
0.596,0.682,1.766,53.162,-48.035,4.639
0.423,0.828,1.898,58.044,-55.786,10.193
0.158,1.008,1.999,62.073,-55.725,20.813
-0.131,1.157,2.004,62.439,-48.645,27.039
-0.431,1.215,1.918,56.519,-45.410,22.583
-0.735,1.109,1.789,49.561,-50.964,7.996
-0.987,0.802,1.614,44.983,-55.786,-13.123
-1.109,0.329,1.399,42.847,-53.894,-40.466
-1.157,-0.259,1.127,42.053,-47.974,-75.012
-1.134,-0.963,0.755,37.231,-42.114,-109.375
-0.996,-1.622,0.377,33.508,-34.241,-142.639
-0.692,-2.174,-0.009,32.898,-16.479,-165.527
-0.318,-2.564,-0.355,40.466,13.000,-165.405
0.125,-2.733,-0.615,55.176,52.124,-148.376
0.562,-2.757,-0.754,73.303,91.675,-122.864
0.832,-2.727,-0.748,85.449,116.760,-88.013
0.910,-2.621,-0.662,84.961,118.713,-52.612
0.876,-2.411,-0.539,71.594,101.563,-26.733
0.746,-2.117,-0.418,49.438,69.397,-7.935
0.555,-1.803,-0.299,26.123,31.128,5.310
0.288,-1.458,-0.175,5.066,-6.409,16.052
-0.007,-1.139,-0.052,-10.010,-32.776,26.917
-0.277,-0.881,0.063,-16.724,-43.030,36.560
-0.493,-0.695,0.184,-16.357,-44.250,42.297
-0.640,-0.585,0.305,-11.108,-40.161,42.908
-0.701,-0.532,0.394,-6.042,-31.677,38.574
-0.683,-0.531,0.458,0.488,-20.020,32.776
-0.619,-0.559,0.514,7.263,-9.460,26.733
-0.545,-0.611,0.577,11.047,-4.150,19.836
-0.470,-0.682,0.640,11.841,-3.479,11.658
-0.379,-0.782,0.700,10.376,-6.470,2.441
-0.280,-0.895,0.756,8.057,-11.414,-5.127
-0.194,-0.995,0.800,4.883,-15.625,-9.155
-0.146,-1.074,0.829,0.549,-15.503,-8.057
-0.119,-1.134,0.840,-2.075,-10.559,-3.235
-0.111,-1.152,0.834,-4.456,-4.517,2.991
-0.097,-1.138,0.798,-7.690,3.052,8.911
-0.071,-1.096,0.730,-11.536,11.108,13.428
-0.020,-1.029,0.670,-13.611,16.846,16.663
0.022,-0.959,0.640,-15.442,17.822,18.860
0.022,-0.907,0.637,-18.494,13.123,20.447
0.001,-0.884,0.650,-22.156,4.700,19.714
-0.020,-0.882,0.677,-25.024,-4.272,15.564
-0.037,-0.869,0.712,-26.306,-11.597,9.155
-0.035,-0.857,0.754,-26.794,-15.503,4.639
-0.050,-0.850,0.783,-27.710,-14.771,5.737
-0.065,-0.811,0.805,-27.039,-8.850,10.986
-0.054,-0.744,0.807,-26.001,1.648,16.846
-0.034,-0.681,0.775,-25.635,12.512,21.301
-0.016,-0.630,0.745,-23.987,18.677,23.682
0.003,-0.595,0.744,-20.142,21.301,23.743
0.022,-0.568,0.772,-17.334,21.851,21.545
0.028,-0.552,0.792,-16.724,21.240,19.897
0.015,-0.549,0.790,-16.968,20.020,19.653
0.010,-0.547,0.794,-15.869,19.592,18.860
0.018,-0.537,0.807,-14.099,20.508,17.273
0.031,-0.528,0.813,-13.855,20.935,16.724
0.028,-0.485,0.820,-15.320,18.982,17.700
0.019,-0.447,0.823,-16.479,17.700,17.578
0.025,-0.428,0.813,-16.235,18.555,15.076
0.043,-0.419,0.807,-14.160,18.677,11.536
0.066,-0.425,0.811,-10.925,17.517,8.850
0.080,-0.443,0.811,-7.690,16.724,7.690
0.074,-0.484,0.810,-4.578,17.334,7.751
0.066,-0.520,0.815,-1.831,19.104,7.996
0.091,-0.543,0.823,0.061,21.423,7.751
0.111,-0.572,0.830,0.244,22.156,7.202
0.109,-0.597,0.836,-2.014,20.203,8.179
0.107,-0.587,0.838,-4.883,17.212,8.728
0.112,-0.572,0.841,-7.019,14.465,7.629
0.111,-0.562,0.838,-8.423,12.085,6.531
0.098,-0.558,0.843,-8.911,9.766,6.348
0.092,-0.561,0.838,-8.545,9.216,5.737
0.096,-0.562,0.843,-7.324,9.705,4.578
0.106,-0.550,0.843,-7.812,9.644,4.883
0.113,-0.548,0.842,-8.484,10.376,7.263
0.105,-0.542,0.838,-7.690,12.085,9.094
0.096,-0.549,0.828,-7.690,12.512,9.949
0.088,-0.567,0.816,-7.935,10.620,8.362
0.095,-0.584,0.818,-7.324,7.629,4.578
0.114,-0.607,0.818,-7.324,4.822,0.671
0.132,-0.610,0.835,-7.629,2.563,-1.587
0.142,-0.598,0.840,-8.118,2.991,-0.671
0.156,-0.568,0.834,-7.812,6.592,2.319
0.154,-0.544,0.821,-7.324,10.071,5.737
0.145,-0.543,0.812,-6.470,11.475,8.057
0.131,-0.546,0.812,-5.554,10.254,8.362
0.123,-0.544,0.814,-4.944,7.385,6.470
0.125,-0.550,0.823,-4.883,4.028,3.296
0.133,-0.546,0.830,-5.554,0.549,0.793
0.143,-0.544,0.832,-5.981,-1.221,-0.244
0.140,-0.548,0.827,-6.042,-0.732,1.160
0.131,-0.544,0.824,-4.395,1.221,3.967
0.126,-0.555,0.813,-2.502,4.700,6.714
0.131,-0.572,0.813,-0.183,7.935,8.972
0.128,-0.575,0.823,1.770,10.132,9.521
0.124,-0.571,0.822,0.793,10.254,9.338
0.123,-0.568,0.820,-1.770,8.545,8.484
0.125,-0.571,0.816,-4.456,6.104,6.775
0.140,-0.560,0.813,-7.202,2.930,4.089
0.154,-0.545,0.805,-9.644,-0.183,1.343
0.168,-0.540,0.793,-10.925,-2.319,0.122
0.166,-0.536,0.787,-10.132,-4.211,0.916
0.155,-0.528,0.796,-7.568,-4.028,3.357
0.144,-0.520,0.805,-4.211,-1.648,6.042
0.130,-0.516,0.813,-1.221,1.282,9.155
0.103,-0.525,0.815,0.610,2.991,11.658
0.085,-0.533,0.817,1.648,3.906,11.902
0.089,-0.539,0.818,2.380,3.723,9.827
