aX,aY,aZ,gX,gY,gZ
0.045,-0.902,0.751,-245.056,80.750,73.975
0.014,-0.875,0.724,-258.240,88.745,74.646
-0.004,-0.851,0.671,-268.250,93.872,71.655
0.023,-0.816,0.625,-273.254,91.003,63.843
0.045,-0.749,0.613,-280.701,78.735,55.908
0.045,-0.702,0.635,-294.434,61.035,49.744
0.048,-0.639,0.623,-308.716,43.640,43.701
0.067,-0.573,0.606,-317.627,30.273,36.316
0.102,-0.556,0.615,-321.106,20.874,29.968
0.146,-0.569,0.625,-315.552,16.541,27.710
0.155,-0.503,0.634,-299.866,18.127,28.809
0.143,-0.430,0.591,-280.151,26.550,33.386
0.150,-0.372,0.576,-258.484,37.415,36.438
0.155,-0.292,0.565,-232.605,47.913,38.696
0.138,-0.221,0.547,-207.336,55.176,41.748
0.140,-0.184,0.556,-183.472,57.251,42.542
0.195,-0.134,0.610,-165.222,52.673,40.710
0.171,-0.109,0.625,-155.090,47.363,40.466
0.167,-0.072,0.584,-143.555,40.710,38.757
0.195,-0.000,0.549,-128.296,30.579,33.081
0.219,0.025,0.551,-112.915,18.494,25.513
0.231,0.036,0.570,-95.947,8.606,18.860
0.229,0.047,0.617,-76.599,2.563,13.062
0.243,0.061,0.671,-57.251,1.770,8.118
0.254,0.062,0.728,-39.978,6.287,3.906
0.249,0.063,0.767,-25.879,14.038,2.197
0.243,0.070,0.787,-13.977,22.095,2.563
0.249,0.063,0.796,-4.822,28.442,2.808
0.256,0.057,0.798,1.709,29.602,2.625
0.264,0.049,0.808,5.981,23.987,3.052
0.264,0.044,0.835,8.606,14.465,3.601
0.255,0.053,0.874,10.010,3.723,3.113
0.256,0.052,0.910,10.010,-5.310,0.793
0.255,0.042,0.943,10.681,-10.376,-1.831
0.261,0.042,0.959,13.245,-11.963,-3.662
0.268,0.041,0.967,16.724,-10.498,-5.066
0.269,0.037,0.978,20.020,-7.812,-5.615
0.270,0.029,0.987,22.705,-5.493,-5.493
0.274,0.005,1.008,23.926,-3.662,-5.310
0.278,-0.003,1.042,22.766,-1.770,-4.089
0.283,-0.003,1.051,18.738,0.977,-2.136
0.286,0.001,1.034,13.611,4.333,-0.854
0.283,0.001,1.014,9.827,6.104,-0.061
0.277,0.000,1.006,7.080,5.249,-0.427
0.287,0.008,1.000,5.066,1.709,-1.953
0.300,0.002,0.990,2.563,-2.136,-4.028
0.307,0.004,0.986,0.183,-4.761,-4.761
0.306,-0.003,0.987,-0.122,-5.432,-4.700
0.304,-0.013,0.979,1.648,-3.357,-4.639
0.309,-0.005,0.964,4.944,-0.061,-4.822
0.315,-0.008,0.955,8.118,3.601,-4.517
0.315,0.000,0.952,10.559,6.226,-4.578
0.326,-0.003,0.954,11.963,7.874,-4.089
0.322,-0.021,0.960,9.888,9.033,-2.075
0.325,-0.013,0.947,8.484,9.766,0.061
0.323,-0.010,0.938,6.531,9.216,0.916
0.323,-0.007,0.929,4.456,7.629,1.282
0.325,-0.007,0.932,3.357,5.188,0.977
0.325,-0.014,0.944,1.587,3.357,1.404
0.317,-0.016,0.944,0.244,2.502,1.953
0.310,-0.009,0.922,0.366,2.930,2.197
0.305,0.005,0.906,2.197,3.357,1.892
0.302,0.006,0.903,4.578,2.808,0.671
0.301,0.007,0.911,6.592,2.014,-0.244
0.298,0.001,0.915,6.775,1.831,0.122
0.297,-0.001,0.917,6.104,1.709,0.061
0.304,-0.005,0.917,6.287,1.404,-0.366
0.312,-0.010,0.927,6.226,0.977,-1.038
0.312,-0.016,0.935,5.371,0.366,-0.671
0.308,-0.018,0.943,4.333,0.122,0.122
0.309,-0.019,0.944,3.418,0.183,-0.305
0.321,-0.029,0.948,2.380,0.122,-0.793
0.324,-0.030,0.953,1.099,0.000,0.427
0.314,-0.020,0.947,-0.183,0.549,2.380
0.305,-0.009,0.929,-0.427,1.770,3.296
0.301,-0.001,0.919,0.488,2.380,2.991
0.298,-0.002,0.916,1.404,2.441,2.747
0.291,-0.004,0.917,2.808,2.136,2.319
0.292,-0.004,0.914,4.639,1.892,2.014

0.308,-1.457,1.660,298.401,-250.244,-160.522
0.380,-1.507,1.753,232.666,-182.739,-134.583
0.339,-1.607,1.565,173.706,-109.253,-102.234
0.214,-1.638,1.257,127.258,-56.580,-68.359
0.118,-1.635,0.968,91.431,-29.480,-40.710
0.036,-1.618,0.777,66.650,-24.414,-23.499
0.012,-1.571,0.683,53.955,-25.269,-13.794
0.016,-1.548,0.676,52.673,-20.081,-7.874
0.084,-1.498,0.692,56.335,-8.240,0.916
0.132,-1.419,0.727,59.326,6.165,16.235
0.118,-1.282,0.780,53.894,21.606,33.325
0.071,-1.111,0.767,33.997,33.081,44.434
-0.018,-0.984,0.677,6.409,37.537,38.391
-0.053,-0.889,0.528,-25.391,31.250,21.667
-0.066,-0.853,0.391,-54.443,17.029,0.183
-0.021,-0.840,0.297,-72.632,1.221,-23.071
0.044,-0.879,0.255,-81.665,-11.536,-40.833
0.110,-0.911,0.262,-80.994,-20.203,-47.791
0.157,-0.943,0.298,-71.350,-21.545,-44.189
0.186,-0.967,0.347,-57.739,-16.113,-32.410
0.175,-0.969,0.391,-44.556,-8.667,-14.954
0.142,-0.963,0.420,-34.424,-0.305,1.709
0.114,-0.958,0.438,-27.039,7.996,15.564
0.086,-0.949,0.451,-24.597,12.817,24.475
0.068,-0.929,0.464,-26.917,13.489,29.053
0.055,-0.925,0.494,-32.043,12.756,29.602
0.049,-0.930,0.519,-38.879,13.550,27.588
0.053,-0.940,0.535,-47.058,14.893,25.513
0.057,-0.947,0.537,-54.016,16.724,24.292
0.067,-0.959,0.540,-59.692,19.836,24.109
0.073,-0.969,0.540,-65.247,21.912,25.940
0.072,-0.961,0.547,-70.496,22.766,28.687
0.071,-0.949,0.544,-74.951,23.682,31.677
0.092,-0.938,0.559,-80.261,24.658,33.569
0.098,-0.926,0.585,-87.891,23.499,35.400
0.107,-0.911,0.617,-97.717,21.729,37.170
0.129,-0.893,0.649,-109.070,20.630,36.865
